"date","magasin","masse_salariale","depenses_fonctionnement","chiffre_affaires","budget_publicite"
2022-04-29,"Magasin_5",2043.84,2189.09,6916.819,78.52
2022-04-29,"Magasin_6",1890.04,2557.5,6646.259,78
2022-04-30,"Magasin_1",1762.51,2850.68,6833.517,91.28
2022-04-30,"Magasin_2",1826.69,2981.47,6125.435,57.25
2022-04-30,"Magasin_3",1728.7,1247.67,5419.504,43.32
2022-04-30,"Magasin_4",2054.99,1336.31,5151.87,81.45
2022-04-30,"Magasin_5",1888.17,2286.95,6343.315,48.63
2022-04-30,"Magasin_6",1748.38,1500.16,8443.09,69.05
2022-05-01,"Magasin_1",1643.24,1690.28,7411.085,38.51
2022-05-01,"Magasin_2",1853.93,1027.59,6740.992,17.87
2022-05-01,"Magasin_3",1752.41,1377.9,6213.59,76.19
2022-05-01,"Magasin_4",1948.15,2290.56,4255.951,68.69
2022-05-01,"Magasin_5",1994.71,1579.88,7322.133,58.77
2022-05-01,"Magasin_6",1618,2147.12,8835.461,85.24
2022-05-02,"Magasin_1",1867.5,1471.43,6955.62,42.15
2022-05-02,"Magasin_2",1722.69,2244.81,5343.923,69.54
2022-05-02,"Magasin_3",1947.7,1159.52,4527.465,54.58
2022-05-02,"Magasin_4",1992.02,2949.66,4379.16,1.91
2022-05-02,"Magasin_5",1636.31,1862.25,6271.908,94
2022-05-02,"Magasin_6",1754.3,1412.63,4531.51,56.99
2022-05-03,"Magasin_1",1884.61,2390.96,7239.967,24.43
2022-05-03,"Magasin_2",1688.24,1786.36,6566,9.97
2022-05-03,"Magasin_3",1897.12,2580.35,3933.428,43.14
2022-05-03,"Magasin_4",1821.77,2540.03,5951.373,34.51
2022-05-03,"Magasin_5",1933.19,1389.55,6057.589,93.25
2022-05-03,"Magasin_6",2034.35,2174.83,6509.313,78.53
2022-05-04,"Magasin_1",1977.97,1044.66,6777.617,70.57
2022-05-04,"Magasin_2",1693.98,1836.55,6872.186,51.57
2022-05-04,"Magasin_3",1757.1,1700.37,3927.505,40.64
2022-05-04,"Magasin_4",1851.45,2158,4738.735,81.14
2022-05-04,"Magasin_5",1661.67,2303.28,6358.491,87.28
2022-05-04,"Magasin_6",1804.9,2879.04,6026.192,79.93
2022-05-05,"Magasin_1",1885.41,1899.56,4398.54,40.19
2022-05-05,"Magasin_2",1705.96,2380.14,5259.768,24.5
2022-05-05,"Magasin_3",1658.05,1106.31,6166.636,87.21
2022-05-05,"Magasin_4",1787,1926.98,5351.289,2.5
2022-05-05,"Magasin_5",2034.35,1009.36,5969.262,27.41
2022-05-05,"Magasin_6",1647.68,1710.8,6165.713,11.28
2022-05-06,"Magasin_1",1740.4,2275.88,6077.948,58.18
2022-05-06,"Magasin_2",1902.15,1636.82,5008.133,19.98
2022-05-06,"Magasin_3",2034.35,2071.86,3413.037,81.54
2022-05-06,"Magasin_4",1849.74,2854.53,5118.81,48.18
2022-05-06,"Magasin_5",1992.08,2290.52,7405.03,10.04
2022-05-06,"Magasin_6",1896.76,2341.51,5623.673,32.91
2022-05-07,"Magasin_1",1705.88,2748.33,8224.295,47.73
2022-05-07,"Magasin_2",1694.82,2161.6,5316.44,76.02
2022-05-07,"Magasin_3",1767.5,1682.36,5253.251,71.24
2022-05-07,"Magasin_4",1720.52,1075.18,5229.448,40.23
2022-05-07,"Magasin_5",1905.3,1517.75,6905.197,82.9
2022-05-07,"Magasin_6",1669.91,2132.57,6441.896,64.16
2022-05-08,"Magasin_1",2034.35,1634.76,6998.238,28.26
2022-05-08,"Magasin_2",2034.35,2855.95,4984.914,51.29
2022-05-08,"Magasin_3",1948.9,1983.62,6099.276,68.71
2022-05-08,"Magasin_4",2034.35,1984.32,6297.732,22.97
2022-05-08,"Magasin_5",1936.45,1475.39,6801.357,16.79
2022-05-08,"Magasin_6",1886.64,1430.5,6140.352,26.44
2022-05-09,"Magasin_1",1760.48,2615,4225.831,67.56
2022-05-09,"Magasin_2",1871.63,2727.45,5281.375,33.64
2022-05-09,"Magasin_3",1688.24,2207.12,5980.02,85.84
2022-05-09,"Magasin_4",1942.13,1717.86,4983.297,27.36
2022-05-09,"Magasin_5",1820.72,2278.53,5138.907,60.86
2022-05-09,"Magasin_6",1816.57,1416.85,4862.847,35.54
2022-05-10,"Magasin_1",1945.54,1051.2,7345.389,36.67
2022-05-10,"Magasin_2",1907.86,2863.95,5833.5,31.66
2022-05-10,"Magasin_3",1629.95,2023.71,4028.217,53.48
2022-05-10,"Magasin_4",1714.98,1931.83,3936.82,56.47
2022-05-10,"Magasin_5",1889.42,1253.73,6243.079,78.83
2022-05-10,"Magasin_6",1838.35,2890.8,4972.011,21.53
2022-05-11,"Magasin_1",1681.47,1939.9,6049.94,74.06
2022-05-11,"Magasin_2",1985.53,2836.98,6304.049,86.5
2022-05-11,"Magasin_3",1820.23,2599.07,5844.254,35.28
2022-05-11,"Magasin_4",2034.35,1566.97,5256.411,57
2022-05-11,"Magasin_5",1696.09,1656.7,6210.862,73
2022-05-11,"Magasin_6",1805.11,2529.86,5235.468,18.96
2022-05-12,"Magasin_1",2034.35,2905.28,4686.739,84.38
2022-05-12,"Magasin_2",1998.51,2670.02,5306.476,83.71
2022-05-12,"Magasin_3",1649.93,2070.66,5830.037,93.49
2022-05-12,"Magasin_4",1788.9,2074.56,6003.758,57.12
2022-05-12,"Magasin_5",1746.9,1714.09,6137.026,61.49
2022-05-12,"Magasin_6",1733.98,2118.39,5178.342,67.12
2022-05-13,"Magasin_1",1752.72,2245.55,4854.326,17.98
2022-05-13,"Magasin_2",1933.98,2474.87,5853.024,13
2022-05-13,"Magasin_3",1826.38,2233.36,5492.93,0.49
2022-05-13,"Magasin_4",1725.79,2745.06,4871.047,78.55
2022-05-13,"Magasin_5",1740.88,1844.82,5268.856,87.46
2022-05-13,"Magasin_6",1939.88,2719.86,4599.896,9.07
2022-05-14,"Magasin_1",1752.13,1972.69,7544.557,81.27
2022-05-14,"Magasin_2",1896.95,2125.93,4492.991,17.52
2022-05-14,"Magasin_3",1896.48,1060.26,5022.316,28.07
2022-05-14,"Magasin_4",1873.28,2188.46,5964.322,43.3
2022-05-14,"Magasin_5",1988.82,1702.19,6236.578,88.15
2022-05-14,"Magasin_6",1694.51,1605.8,6313.19,41.11
2022-05-15,"Magasin_1",1673.41,1626.18,5064.42,39.48
2022-05-15,"Magasin_2",1844.85,1159.17,7752.859,44.53
2022-05-15,"Magasin_3",1867.31,1553.04,5992.468,23.22
2022-05-15,"Magasin_4",1892.78,2819.99,4417.677,41.67
2022-05-15,"Magasin_5",1985.58,2062.38,7949.255,85.59
2022-05-15,"Magasin_6",1784.41,2858.73,7501.232,91.56
2022-05-16,"Magasin_1",1808.53,2905.85,7205.909,69.96
2022-05-16,"Magasin_2",1692.06,1841.51,5657.626,13.27
2022-05-16,"Magasin_3",1686.27,1371.02,5699.125,24.76
2022-05-16,"Magasin_4",2034.35,2850.44,5333.616,43.09
2022-05-16,"Magasin_5",1940.29,2766.71,4420.639,90.3
2022-05-16,"Magasin_6",1751.03,2639.2,5597.885,20.43
2022-05-17,"Magasin_1",1884.55,1732.6,4460.306,90.41
2022-05-17,"Magasin_2",1728.84,2682.56,5858.539,68.97
2022-05-17,"Magasin_3",1904.35,1667.87,4925.194,2.98
2022-05-17,"Magasin_4",2034.35,1767.32,4772.334,0.79
2022-05-17,"Magasin_5",1801.59,1813.07,5837.626,96.62
2022-05-17,"Magasin_6",2034.35,1953.37,7690.889,48.06
2022-05-18,"Magasin_1",1653.47,1490.02,5928.125,75.76
2022-05-18,"Magasin_2",2034.35,1784.33,7132.453,88.35
2022-05-18,"Magasin_3",1952.66,1376.36,4411.819,56.24
2022-05-18,"Magasin_4",2034.35,2942.73,5561.898,95.8
2022-05-18,"Magasin_5",1770.96,2229.58,7006.301,84.26
2022-05-18,"Magasin_6",1655.6,1557.19,4398.031,40.22
2022-05-19,"Magasin_1",2034.35,1586.2,6204.697,73.53
2022-05-19,"Magasin_2",1664.55,1932.89,6327.67,18.85
2022-05-19,"Magasin_3",1669.22,1511.78,3876.537,1.18
2022-05-19,"Magasin_4",2034.35,2123.03,5555.764,17.17
2022-05-19,"Magasin_5",1891.25,2902.13,5324.106,29.4
2022-05-19,"Magasin_6",2034.35,2473.54,5483.98,5.7
2022-05-20,"Magasin_1",1819.39,1560.5,4610.316,22.55
2022-05-20,"Magasin_2",1728.27,2896.99,4990.777,26.51
2022-05-20,"Magasin_3",1706.65,1961.34,6082.566,13.77
2022-05-20,"Magasin_4",1920.35,2907.67,4566.977,36.54
2022-05-20,"Magasin_5",1705.28,1224.49,6517.525,17.28
2022-05-20,"Magasin_6",1735.62,2071.12,7142.824,43.97
2022-05-21,"Magasin_1",1695.66,1875.35,4468.175,2.1
2022-05-21,"Magasin_2",1907.18,1961.06,6111.834,85.3
2022-05-21,"Magasin_3",1879.12,1510.95,5833.602,38.28
2022-05-21,"Magasin_4",1623.85,2830.03,6815.612,98.87
2022-05-21,"Magasin_5",1857.47,2560.5,5350.266,79.06
2022-05-21,"Magasin_6",1729.97,1597.66,4974.418,48.53
2022-05-22,"Magasin_1",1734.44,1912.08,4927.691,72.59
2022-05-22,"Magasin_2",1903.13,2328.81,7737.535,56.18
2022-05-22,"Magasin_3",1998.62,2773.57,5504.915,86.93
2022-05-22,"Magasin_4",1704.75,2329.92,6976.552,47.63
2022-05-22,"Magasin_5",1771.97,2354.51,6452.945,2.32
2022-05-22,"Magasin_6",1727.32,1027.4,6499.804,20.44
2022-05-23,"Magasin_1",1941.01,2296.41,6056.048,59.32
2022-05-23,"Magasin_2",1979.18,2931.47,5091.395,28.16
2022-05-23,"Magasin_3",2034.35,2274.6,5706.519,18.86
2022-05-23,"Magasin_4",1811.23,1871.1,5438.812,52.6
2022-05-23,"Magasin_5",1992.3,2018.57,5253.03,87.18
2022-05-23,"Magasin_6",1737.49,2073.16,7006.068,92.83
2022-05-24,"Magasin_1",1872.24,2271.55,7458.953,38.7
2022-05-24,"Magasin_2",1959.07,1205.79,6608.352,10.27
2022-05-24,"Magasin_3",1937.01,1945.33,4020.972,53.53
2022-05-24,"Magasin_4",1945.21,2020.04,6168.088,72.49
2022-05-24,"Magasin_5",1873.66,2179.25,5071.71,38.96
2022-05-24,"Magasin_6",1775.01,2875.39,5116.092,19.08
2022-05-25,"Magasin_1",1738.92,2835.57,6888.35,42.06
2022-05-25,"Magasin_2",2034.35,1549.63,5580.97,71.39
2022-05-25,"Magasin_3",1682.12,2992.35,4759.732,32.41
2022-05-25,"Magasin_4",1933.63,1198.08,4946.873,39.66
2022-05-25,"Magasin_5",1921.28,1280.62,7153.351,3.92
2022-05-25,"Magasin_6",1760.32,1658.65,5241.667,19.52
2022-05-26,"Magasin_1",1983.06,2341.21,5544.96,42.8
2022-05-26,"Magasin_2",1871.88,2654.78,4381.386,44.76
2022-05-26,"Magasin_3",1772.15,1801.96,5519.046,61
2022-05-26,"Magasin_4",1749.83,2955.35,6679.669,84.91
2022-05-26,"Magasin_5",1780.12,2519.22,7335.1,74.26
2022-05-26,"Magasin_6",1917.85,2181.59,7753.824,39.32
2022-05-27,"Magasin_1",2034.35,2618.93,7351.954,37.96
2022-05-27,"Magasin_2",1887.16,1101.69,4455.454,33.26
2022-05-27,"Magasin_3",1709.29,1211.35,3320.294,92.65
2022-05-27,"Magasin_4",1892.98,2783.55,5688.269,61
2022-05-27,"Magasin_5",1798.61,2507.56,5637.106,94.25
2022-05-27,"Magasin_6",1774.6,1548.81,4702.243,9.4
2022-05-28,"Magasin_1",1691.59,1619.93,7745.206,82.23
2022-05-28,"Magasin_2",1757.72,2064.86,4627.884,33.4
2022-05-28,"Magasin_3",1900.12,1438.92,4629.318,4.16
2022-05-28,"Magasin_4",1990.85,2291.19,5153.775,30.04
2022-05-28,"Magasin_5",1887.89,1669.69,8346.422,85.02
2022-05-28,"Magasin_6",2034.35,2767.69,6082.651,60.51
2022-05-29,"Magasin_1",1943.12,2563.84,6228.193,37.68
2022-05-29,"Magasin_2",1749.02,2536.03,6675.814,42.34
2022-05-29,"Magasin_3",1934.98,2851.25,5143.563,20.29
2022-05-29,"Magasin_4",1988.82,1425.67,6025.924,18.98
2022-05-29,"Magasin_5",1818.9,2759.69,5282.797,91.1
2022-05-29,"Magasin_6",1908.98,2898.68,7554.606,65.09
2022-05-30,"Magasin_1",1745.65,2388.56,5794.676,36.39
2022-05-30,"Magasin_2",1660.84,2727.31,4456.458,28.44
2022-05-30,"Magasin_3",1786.05,1901.72,3508.125,70.19
2022-05-30,"Magasin_4",1680.12,1002.6,5949.466,38.75
2022-05-30,"Magasin_5",1691.22,2365.13,5357.91,85.47
2022-05-30,"Magasin_6",2034.35,2294.21,7135.725,59.92
2022-05-31,"Magasin_1",1848.85,1970.86,5278.503,44.6
2022-05-31,"Magasin_2",1634.46,2249.17,6547.092,24.64
2022-05-31,"Magasin_3",2034.35,2966.25,4478.484,59.68
2022-05-31,"Magasin_4",1984.41,1554.22,3827.275,43.55
2022-05-31,"Magasin_5",1749.46,1622.38,5749.729,64.56
2022-05-31,"Magasin_6",2034.35,2169.15,7545.474,29.67
2022-06-01,"Magasin_1",1895.55,2721.47,5156.443,29.03
2022-06-01,"Magasin_2",1952.41,1644.62,4677.307,4.88
2022-06-01,"Magasin_3",1803.07,1518.8,5061.383,39.76
2022-06-01,"Magasin_4",2045.15,1738.42,6355.116,51.11
2022-06-01,"Magasin_5",2065.7,1074.08,5397.929,90.62
2022-06-01,"Magasin_6",1811.57,1080.97,7614.982,2.44
2022-06-02,"Magasin_1",1976.6,1043.29,4847.181,48.65
2022-06-02,"Magasin_2",1706.17,2294.1,6404.379,14.94
2022-06-02,"Magasin_3",1740.73,2606.37,2965.053,13.63
2022-06-02,"Magasin_4",1941.69,2874.12,4176.037,48.61
2022-06-02,"Magasin_5",2023.09,2619.35,4751.118,27.17
2022-06-02,"Magasin_6",1882.8,2133.56,7038.898,52.69
2022-06-03,"Magasin_1",1821.59,2016.37,5755.3,37.29
2022-06-03,"Magasin_2",1964.64,1288.28,5008.19,97.21
2022-06-03,"Magasin_3",1757.18,1191.96,3425.234,82.68
2022-06-03,"Magasin_4",1853.83,1135.89,5200.542,84.09
2022-06-03,"Magasin_5",1948.11,2740.17,4857.035,66.66
2022-06-03,"Magasin_6",2102.16,1507.11,7004.307,16.46
2022-06-04,"Magasin_1",2066.63,2181.72,6459.988,93.47
2022-06-04,"Magasin_2",1955.72,2586.82,4588.181,99.56
2022-06-04,"Magasin_3",2033.1,1994.82,4116.884,76.21
2022-06-04,"Magasin_4",2102.16,1681.95,6419.943,85.54
2022-06-04,"Magasin_5",2010.23,2622.7,8092.999,78.22
2022-06-04,"Magasin_6",2102.16,1513.96,8743.323,93.34
2022-06-05,"Magasin_1",1736.7,1889.99,6865.096,10.58
2022-06-05,"Magasin_2",1749.29,2744.06,6102.245,64.77
2022-06-05,"Magasin_3",1961.33,1643.11,3837.666,83.62
2022-06-05,"Magasin_4",1701.78,1971.49,5334.465,7.12
2022-06-05,"Magasin_5",1952.53,1264.01,7489.587,79.17
2022-06-05,"Magasin_6",2102.16,1302.54,7870.787,36.24
2022-06-06,"Magasin_1",1756.15,1730.26,5806.573,14.07
2022-06-06,"Magasin_2",2049.16,2562.5,6477.138,3.25
2022-06-06,"Magasin_3",1797.13,2377.35,4905.528,87.52
2022-06-06,"Magasin_4",2053.89,1212.16,4650.73,74.81
2022-06-06,"Magasin_5",1912.05,1986.17,4723.239,17.62
2022-06-06,"Magasin_6",1806.07,1562.46,4586.139,62.67
2022-06-07,"Magasin_1",1705.61,1168.31,4084.644,99.65
2022-06-07,"Magasin_2",1857.74,2951.19,5780.374,38.36
2022-06-07,"Magasin_3",1960.57,2645.54,5448.47,53.67
2022-06-07,"Magasin_4",1680.44,2920.91,5088.071,2.18
2022-06-07,"Magasin_5",1960.59,2442.68,4755.309,58.8
2022-06-07,"Magasin_6",2068.63,1706.74,7451.908,15.38
2022-06-08,"Magasin_1",1925.57,2693.49,5700.437,84.18
2022-06-08,"Magasin_2",1999.01,1315.01,6721.73,77.88
2022-06-08,"Magasin_3",2057.32,1532.05,5339.799,87.85
2022-06-08,"Magasin_4",1794.05,2059.03,5220.287,11.11
2022-06-08,"Magasin_5",1960.02,2588.97,4599.102,26.23
2022-06-08,"Magasin_6",1821.64,1145.98,6187.092,75.99
2022-06-09,"Magasin_1",1876.14,2285.76,5224.294,50.72
2022-06-09,"Magasin_2",2102.16,1896.43,5597.805,9.82
2022-06-09,"Magasin_3",2102.16,2917.94,5059.353,19.42
2022-06-09,"Magasin_4",1858.72,1184.78,3764.243,90.4
2022-06-09,"Magasin_5",1964.09,1923.49,5145.061,24.21
2022-06-09,"Magasin_6",1900.53,2369.39,6782.625,23.49
2022-06-10,"Magasin_1",1864.29,1333.35,6215.31,47.13
2022-06-10,"Magasin_2",1826.91,1369.35,5820.366,69.29
2022-06-10,"Magasin_3",1831.97,1351.21,3530.9,61.36
2022-06-10,"Magasin_4",1854.11,1340.69,6737.202,62.45
2022-06-10,"Magasin_5",1863.23,1392.99,5288.727,32.64
2022-06-10,"Magasin_6",1894.05,1081.16,5781.212,67.32
2022-06-11,"Magasin_1",1914.93,2248.01,5290.763,14.96
2022-06-11,"Magasin_2",1910.28,1672.54,6757.483,47.49
2022-06-11,"Magasin_3",1740.73,1413.05,3496.184,19.69
2022-06-11,"Magasin_4",1900.43,1081.82,4317.555,97.28
2022-06-11,"Magasin_5",2065.24,1142.92,6416.455,71.77
2022-06-11,"Magasin_6",1894.56,1726.24,7335.378,79.1
2022-06-12,"Magasin_1",1688.58,2305.15,7117.246,19.87
2022-06-12,"Magasin_2",1843.73,1591.58,5947.246,44.66
2022-06-12,"Magasin_3",2102.16,2077.55,5271.434,99.8
2022-06-12,"Magasin_4",1996.63,1343.2,6240.639,85.21
2022-06-12,"Magasin_5",1995.7,2955.39,6213.195,2.27
2022-06-12,"Magasin_6",1951.62,2692.92,5692.425,15.32
2022-06-13,"Magasin_1",2065.13,1978.41,6332.076,1.53
2022-06-13,"Magasin_2",2050.03,2524.06,5987.141,92.65
2022-06-13,"Magasin_3",1828.55,2876.01,3890.434,66.82
2022-06-13,"Magasin_4",1935.78,2552.76,6559.448,8.26
2022-06-13,"Magasin_5",2051.72,2866.85,4880.749,52.22
2022-06-13,"Magasin_6",1780.11,2114.04,6571.867,92.15
2022-06-14,"Magasin_1",1908.97,2384.57,4782.02,86.43
2022-06-14,"Magasin_2",1936.47,1388,6420.905,85.33
2022-06-14,"Magasin_3",2049.65,1017.46,5539.035,34.81
2022-06-14,"Magasin_4",1762.66,1219.15,3593.038,84.76
2022-06-14,"Magasin_5",2045.15,1253.9,5997.043,21.87
2022-06-14,"Magasin_6",1754.08,2810.89,5351.798,24.79
2022-06-15,"Magasin_1",2102.16,1739.42,5265.126,21.21
2022-06-15,"Magasin_2",1734.9,1630.64,6822.303,87.12
2022-06-15,"Magasin_3",1755.06,1127.27,3274.688,20.11
2022-06-15,"Magasin_4",1739.3,2527.69,5767.085,73.96
2022-06-15,"Magasin_5",1900.99,1089.7,5824.59,93.83
2022-06-15,"Magasin_6",2044.68,1960.66,4880.966,68.88
2022-06-16,"Magasin_1",1835.12,1687.61,5624.879,13.96
2022-06-16,"Magasin_2",1706.89,2672.62,6068.786,28.08
2022-06-16,"Magasin_3",1967.7,1764.66,4639.489,54.41
2022-06-16,"Magasin_4",1998.63,1566.21,3461.067,16.44
2022-06-16,"Magasin_5",1711.61,2135.01,4823.202,98.61
2022-06-16,"Magasin_6",1868.78,1305.9,6337.016,0.44
2022-06-17,"Magasin_1",1807.83,1817.23,7092.208,97.93
2022-06-17,"Magasin_2",2000.91,2091.71,4392.656,98.79
2022-06-17,"Magasin_3",1700.88,1532.88,4585.261,56.09
2022-06-17,"Magasin_4",1945.49,2715.1,4423.305,31.48
2022-06-17,"Magasin_5",2102.16,1320.92,5817.142,99.94
2022-06-17,"Magasin_6",2043.76,1565.59,5854.311,34.3
2022-06-18,"Magasin_1",1802.2,1633.79,6879.463,59.73
2022-06-18,"Magasin_2",1971.92,2161.48,4833.284,44.51
2022-06-18,"Magasin_3",1990.99,1926.56,4330.999,46.08
2022-06-18,"Magasin_4",1673.54,2458.34,6297.449,30.79
2022-06-18,"Magasin_5",1736.34,1687.71,5753.651,48.36
2022-06-18,"Magasin_6",1798.92,1774.82,6066.996,48.42
2022-06-19,"Magasin_1",1880.57,1088.55,6677.462,56.12
2022-06-19,"Magasin_2",1801.99,2704.55,6472.577,23.25
2022-06-19,"Magasin_3",1719.75,1548.77,3835.241,52.61
2022-06-19,"Magasin_4",1988.13,2655.35,3961.336,46.94
2022-06-19,"Magasin_5",1706.35,1183.61,6214.747,81.41
2022-06-19,"Magasin_6",1962.21,2780.87,7933.611,15.61
2022-06-20,"Magasin_1",2024.17,2673.35,4666.84,83.5
2022-06-20,"Magasin_2",1736.75,1361.89,4255.961,63.47
2022-06-20,"Magasin_3",1742.85,2209.12,3401.881,51.44
2022-06-20,"Magasin_4",2102.16,2372.37,6027.52,54.45
2022-06-20,"Magasin_5",1900.56,2937.55,6795.739,31.15
2022-06-20,"Magasin_6",1908.68,1698.75,7009.92,71
2022-06-21,"Magasin_1",1743.58,2819.38,6838.357,91.63
2022-06-21,"Magasin_2",1843.88,2971.74,4311.887,68.86
2022-06-21,"Magasin_3",2102.16,1988.07,3528.069,55.83
2022-06-21,"Magasin_4",1873.68,1162.06,4389.677,89.25
2022-06-21,"Magasin_5",1875.86,1297.4,5258.611,98.72
2022-06-21,"Magasin_6",1728.6,2416.86,4545.351,57.09
2022-06-22,"Magasin_1",2043.9,1633.79,6664.341,66.12
2022-06-22,"Magasin_2",1713.22,1091.41,6028.976,85.05
2022-06-22,"Magasin_3",1686.26,1738.87,4944.454,93.15
2022-06-22,"Magasin_4",1818.08,2890.8,4670.984,91.54
2022-06-22,"Magasin_5",2102.16,2261.79,7107.804,79.07
2022-06-22,"Magasin_6",1973.23,1265.91,6441.166,42.74
2022-06-23,"Magasin_1",2102.16,2341.03,5131.212,78.51
2022-06-23,"Magasin_2",1958.03,2323.94,6565.917,75.11
2022-06-23,"Magasin_3",1783.91,2232.26,5211.648,1.68
2022-06-23,"Magasin_4",1814.77,2464.58,4562.648,5.42
2022-06-23,"Magasin_5",1962.62,2800.68,5163.637,73.81
2022-06-23,"Magasin_6",2102.16,2294.72,7546.286,59.52
2022-06-24,"Magasin_1",1759.92,1116.12,5354.121,90.65
2022-06-24,"Magasin_2",1747.67,2447.86,6017.556,88.21
