"Date","Produit","Magasin","Promotion","Prix_Unitaire","Quantité_Vendue"
2022-04-17,"Bœuf","Magasin_4","Non",11.74,73
2022-04-17,"Bœuf","Magasin_5","Oui",7.35,200
2022-04-17,"Bœuf","Magasin_6","Non",11.99,127
2022-04-17,"Jus d'orange","Magasin_1","Non",2.99,28
2022-04-17,"Jus d'orange","Magasin_2","Non",2.99,36
2022-04-17,"Jus d'orange","Magasin_3","Non",2.91,123
2022-04-17,"Jus d'orange","Magasin_4","Oui",1.99,84
2022-04-17,"Jus d'orange","Magasin_5","Non",2.68,124
2022-04-17,"Jus d'orange","Magasin_6","Non",2.75,129
2022-04-17,"Café","Magasin_1","Non",2.49,49
2022-04-17,"Café","Magasin_2","Non",3.36,NA
2022-04-17,"Café","Magasin_3","Non",3.6,89
2022-04-17,"Café","Magasin_4","Non",3.49,99
2022-04-17,"Café","Magasin_5","Non",3.49,104
2022-04-17,"Café","Magasin_6","Non",2.49,122
2022-04-18,"Pain","Magasin_1","Oui",0.49,134
2022-04-18,"Pain","Magasin_2","Non",0.99,136
2022-04-18,"Pain","Magasin_3","Non",0.99,115
2022-04-18,"Pain","Magasin_4","Non",0.99,137
2022-04-18,"Pain","Magasin_5","Non",0.99,62
2022-04-18,"Pain","Magasin_6","Oui",0.49,57
2022-04-18,"Lait","Magasin_1","Non",0.99,71
2022-04-18,"Lait","Magasin_2","Non",0.99,120
2022-04-18,"Lait","Magasin_3","Non",0.88,63
2022-04-18,"Lait","Magasin_4","Non",0.99,120
2022-04-18,"Lait","Magasin_5","Non",0.86,57
2022-04-18,"Lait","Magasin_6","Non",0.99,126
2022-04-18,"Beurre","Magasin_1","Non",2.49,26
2022-04-18,"Beurre","Magasin_2","Non",2.49,118
2022-04-18,"Beurre","Magasin_3","Non",2.49,86
2022-04-18,"Beurre","Magasin_4","Non",1.49,127
2022-04-18,"Beurre","Magasin_5","Non",2.49,46
2022-04-18,"Beurre","Magasin_6","Non",1.49,68
2022-04-18,"Yaourt","Magasin_1","Non",1.16,80
2022-04-18,"Yaourt","Magasin_2","Non",0.99,NA
2022-04-18,"Yaourt","Magasin_3","Non",1.21,37
2022-04-18,"Yaourt","Magasin_4","Non",1.22,86
2022-04-18,"Yaourt","Magasin_5","Non",1.17,89
2022-04-18,"Yaourt","Magasin_6","Non",1.24,37
2022-04-18,"Riz","Magasin_1","Non",0.49,51
2022-04-18,"Riz","Magasin_2","Non",0.49,59
2022-04-18,"Riz","Magasin_3","Non",1.43,127
2022-04-18,"Riz","Magasin_4","Non",1.49,33
2022-04-18,"Riz","Magasin_5","Non",1.49,98
2022-04-18,"Riz","Magasin_6","Oui",0.99,96
2022-04-18,"Pâtes","Magasin_1","Non",0.49,122
2022-04-18,"Pâtes","Magasin_2","Non",0.49,114
2022-04-18,"Pâtes","Magasin_3","Non",1.31,43
2022-04-18,"Pâtes","Magasin_4","Non",1.3,98
2022-04-18,"Pâtes","Magasin_5","Non",1.3,21
2022-04-18,"Pâtes","Magasin_6","Oui",0.79,204
2022-04-18,"Poulet","Magasin_1","Non",7.93,121
2022-04-18,"Poulet","Magasin_2","Non",7.99,69
2022-04-18,"Poulet","Magasin_3","Non",8.19,57
2022-04-18,"Poulet","Magasin_4","Oui",4.79,56
2022-04-18,"Poulet","Magasin_5","Non",7.99,148
2022-04-18,"Poulet","Magasin_6","Non",7.99,NA
2022-04-18,"Bœuf","Magasin_1","Non",11.64,130
2022-04-18,"Bœuf","Magasin_2","Non",12.26,94
2022-04-18,"Bœuf","Magasin_3","Non",11.62,38
2022-04-18,"Bœuf","Magasin_4","Non",11.66,78
2022-04-18,"Bœuf","Magasin_5","Non",11.77,NA
2022-04-18,"Bœuf","Magasin_6","Non",11.69,107
2022-04-18,"Jus d'orange","Magasin_1","Non",2.99,44
2022-04-18,"Jus d'orange","Magasin_2","Non",2.99,32
2022-04-18,"Jus d'orange","Magasin_3","Non",2.81,73
2022-04-18,"Jus d'orange","Magasin_4","Non",2.79,53
2022-04-18,"Jus d'orange","Magasin_5","Non",2.76,79
2022-04-18,"Jus d'orange","Magasin_6","Non",2.99,117
2022-04-18,"Café","Magasin_1","Non",3.49,53
2022-04-18,"Café","Magasin_2","Non",2.49,46
2022-04-18,"Café","Magasin_3","Non",3.42,66
2022-04-18,"Café","Magasin_4","Non",2.49,95
2022-04-18,"Café","Magasin_5","Non",2.49,65
2022-04-18,"Café","Magasin_6","Non",3.49,81
2022-04-19,"Pain","Magasin_1","Non",0.99,84
2022-04-19,"Pain","Magasin_2","Non",0.99,146
2022-04-19,"Pain","Magasin_3","Non",0.99,148
2022-04-19,"Pain","Magasin_4","Oui",0.68,197
2022-04-19,"Pain","Magasin_5","Non",0.99,56
2022-04-19,"Pain","Magasin_6","Non",0.99,43
2022-04-19,"Lait","Magasin_1","Oui",0.62,94
2022-04-19,"Lait","Magasin_2","Non",0.99,111
2022-04-19,"Lait","Magasin_3","Non",0.93,76
2022-04-19,"Lait","Magasin_4","Non",0.89,127
2022-04-19,"Lait","Magasin_5","Non",0.99,NA
2022-04-19,"Lait","Magasin_6","Non",0.99,141
2022-04-19,"Beurre","Magasin_1","Oui",1.49,56
2022-04-19,"Beurre","Magasin_2","Non",1.49,128
2022-04-19,"Beurre","Magasin_3","Non",1.49,79
2022-04-19,"Beurre","Magasin_4","Non",1.49,157
2022-04-19,"Beurre","Magasin_5","Non",1.49,51
2022-04-19,"Beurre","Magasin_6","Non",1.49,88
2022-04-19,"Yaourt","Magasin_1","Non",1.2,79
2022-04-19,"Yaourt","Magasin_2","Non",1.23,83
2022-04-19,"Yaourt","Magasin_3","Non",1.22,45
2022-04-19,"Yaourt","Magasin_4","Non",0.99,87
2022-04-19,"Yaourt","Magasin_5","Non",1.14,101
2022-04-19,"Yaourt","Magasin_6","Non",0.49,46
2022-04-19,"Riz","Magasin_1","Oui",0.91,74
2022-04-19,"Riz","Magasin_2","Non",0.49,69
2022-04-19,"Riz","Magasin_3","Non",1.49,111
2022-04-19,"Riz","Magasin_4","Non",1.49,35
2022-04-19,"Riz","Magasin_5","Non",0.49,91
2022-04-19,"Riz","Magasin_6","Non",1.49,60
2022-04-19,"Pâtes","Magasin_1","Non",1.34,124
2022-04-19,"Pâtes","Magasin_2","Non",1.3,134
2022-04-19,"Pâtes","Magasin_3","Non",1.32,40
2022-04-19,"Pâtes","Magasin_4","Non",1.27,102
2022-04-19,"Pâtes","Magasin_5","Non",1.27,34
2022-04-19,"Pâtes","Magasin_6","Non",1.25,NA
2022-04-19,"Poulet","Magasin_1","Non",7.83,121
2022-04-19,"Poulet","Magasin_2","Non",7.81,57
2022-04-19,"Poulet","Magasin_3","Non",8.31,58
2022-04-19,"Poulet","Magasin_4","Non",7.49,41
2022-04-19,"Poulet","Magasin_5","Non",8.09,121
2022-04-19,"Poulet","Magasin_6","Oui",6.16,157
2022-04-19,"Bœuf","Magasin_1","Non",11.99,124
2022-04-19,"Bœuf","Magasin_2","Non",11.99,86
2022-04-19,"Bœuf","Magasin_3","Non",11.99,32
2022-04-19,"Bœuf","Magasin_4","Oui",6.99,101
2022-04-19,"Bœuf","Magasin_5","Non",12.36,NA
2022-04-19,"Bœuf","Magasin_6","Non",11.79,123
2022-04-19,"Jus d'orange","Magasin_1","Non",2.99,35
2022-04-19,"Jus d'orange","Magasin_2","Non",2.88,35
2022-04-19,"Jus d'orange","Magasin_3","Non",2.7,87
2022-04-19,"Jus d'orange","Magasin_4","Non",2.87,45
2022-04-19,"Jus d'orange","Magasin_5","Non",2.99,96
2022-04-19,"Jus d'orange","Magasin_6","Non",2.68,125
2022-04-19,"Café","Magasin_1","Non",3.64,53
2022-04-19,"Café","Magasin_2","Oui",1.49,69
2022-04-19,"Café","Magasin_3","Non",2.49,76
2022-04-19,"Café","Magasin_4","Non",2.49,82
2022-04-19,"Café","Magasin_5","Oui",1.49,135
2022-04-19,"Café","Magasin_6","Oui",1.49,146
2022-04-20,"Pain","Magasin_1","Non",0.99,88
2022-04-20,"Pain","Magasin_2","Non",0.99,NA
2022-04-20,"Pain","Magasin_3","Non",0.99,85
2022-04-20,"Pain","Magasin_4","Non",0.99,138
2022-04-20,"Pain","Magasin_5","Non",0.99,56
2022-04-20,"Pain","Magasin_6","Non",0.99,36
2022-04-20,"Lait","Magasin_1","Non",0.99,67
2022-04-20,"Lait","Magasin_2","Non",0.89,106
2022-04-20,"Lait","Magasin_3","Non",0.88,69
2022-04-20,"Lait","Magasin_4","Non",0.87,128
2022-04-20,"Lait","Magasin_5","Non",0.99,52
2022-04-20,"Lait","Magasin_6","Non",0.99,108
2022-04-20,"Beurre","Magasin_1","Non",2.6,35
2022-04-20,"Beurre","Magasin_2","Non",2.49,124
2022-04-20,"Beurre","Magasin_3","Oui",1.99,138
2022-04-20,"Beurre","Magasin_4","Non",1.49,125
2022-04-20,"Beurre","Magasin_5","Oui",1.99,93
2022-04-20,"Beurre","Magasin_6","Non",1.49,74
2022-04-20,"Yaourt","Magasin_1","Non",0.99,82
2022-04-20,"Yaourt","Magasin_2","Oui",0.7,108
2022-04-20,"Yaourt","Magasin_3","Non",1.16,34
2022-04-20,"Yaourt","Magasin_4","Non",1.22,77
2022-04-20,"Yaourt","Magasin_5","Non",1.16,104
2022-04-20,"Yaourt","Magasin_6","Non",1.26,35
2022-04-20,"Riz","Magasin_1","Oui",0.99,96
2022-04-20,"Riz","Magasin_2","Non",0.49,65
2022-04-20,"Riz","Magasin_3","Non",0.49,129
2022-04-20,"Riz","Magasin_4","Non",0.49,48
2022-04-20,"Riz","Magasin_5","Oui",1.18,190
2022-04-20,"Riz","Magasin_6","Non",1.49,56
2022-04-20,"Pâtes","Magasin_1","Non",1.33,134
2022-04-20,"Pâtes","Magasin_2","Non",1.27,113
2022-04-20,"Pâtes","Magasin_3","Non",1.35,31
2022-04-20,"Pâtes","Magasin_4","Non",1.3,107
2022-04-20,"Pâtes","Magasin_5","Non",1.26,24
2022-04-20,"Pâtes","Magasin_6","Non",1.24,120
2022-04-20,"Poulet","Magasin_1","Non",8.22,116
2022-04-20,"Poulet","Magasin_2","Non",7.99,63
2022-04-20,"Poulet","Magasin_3","Non",8.16,60
2022-04-20,"Poulet","Magasin_4","Non",7.99,46
2022-04-20,"Poulet","Magasin_5","Non",8.22,112
2022-04-20,"Poulet","Magasin_6","Non",7.71,119
2022-04-20,"Bœuf","Magasin_1","Non",11.61,129
2022-04-20,"Bœuf","Magasin_2","Non",11.99,NA
2022-04-20,"Bœuf","Magasin_3","Non",12.3,40
2022-04-20,"Bœuf","Magasin_4","Non",12.15,55
2022-04-20,"Bœuf","Magasin_5","Non",11.99,98
2022-04-20,"Bœuf","Magasin_6","Non",11.49,115
2022-04-20,"Jus d'orange","Magasin_1","Non",2.99,21
2022-04-20,"Jus d'orange","Magasin_2","Non",2.78,28
2022-04-20,"Jus d'orange","Magasin_3","Non",2.82,93
2022-04-20,"Jus d'orange","Magasin_4","Non",2.85,47
2022-04-20,"Jus d'orange","Magasin_5","Non",2.67,93
2022-04-20,"Jus d'orange","Magasin_6","Non",2.99,129
2022-04-20,"Café","Magasin_1","Non",2.49,41
2022-04-20,"Café","Magasin_2","Non",3.33,64
2022-04-20,"Café","Magasin_3","Non",3.49,52
2022-04-20,"Café","Magasin_4","Non",2.49,66
2022-04-20,"Café","Magasin_5","Non",3.49,85
2022-04-20,"Café","Magasin_6","Non",3.49,109
2022-04-21,"Pain","Magasin_1","Non",0.99,87
2022-04-21,"Pain","Magasin_2","Non",0.99,NA
2022-04-21,"Pain","Magasin_3","Non",0.99,111
2022-04-21,"Pain","Magasin_4","Non",0.99,140
2022-04-21,"Pain","Magasin_5","Non",0.99,64
2022-04-21,"Pain","Magasin_6","Non",0.99,45
2022-04-21,"Lait","Magasin_1","Non",0.93,64
2022-04-21,"Lait","Magasin_2","Non",0.99,110
2022-04-21,"Lait","Magasin_3","Non",0.99,68
2022-04-21,"Lait","Magasin_4","Non",0.86,118
2022-04-21,"Lait","Magasin_5","Non",0.99,52
2022-04-21,"Lait","Magasin_6","Oui",0.49,215
2022-04-21,"Beurre","Magasin_1","Non",1.49,39
2022-04-21,"Beurre","Magasin_2","Non",1.49,112
2022-04-21,"Beurre","Magasin_3","Non",2.49,70
2022-04-21,"Beurre","Magasin_4","Non",1.49,118
2022-04-21,"Beurre","Magasin_5","Non",1.49,96
2022-04-21,"Beurre","Magasin_6","Non",1.49,270
2022-04-21,"Yaourt","Magasin_1","Oui",0.73,115
2022-04-21,"Yaourt","Magasin_2","Non",1.23,78
2022-04-21,"Yaourt","Magasin_3","Non",0.99,45
2022-04-21,"Yaourt","Magasin_4","Oui",0.74,117
2022-04-21,"Yaourt","Magasin_5","Non",0.49,80
2022-04-21,"Yaourt","Magasin_6","Non",1.23,36
2022-04-21,"Riz","Magasin_1","Non",1.49,54
2022-04-21,"Riz","Magasin_2","Non",0.49,52
2022-04-21,"Riz","Magasin_3","Oui",1.21,182
2022-04-21,"Riz","Magasin_4","Non",0.49,44
2022-04-21,"Riz","Magasin_5","Non",1.49,118
2022-04-21,"Riz","Magasin_6","Non",1.49,73
2022-04-21,"Pâtes","Magasin_1","Non",0.49,127
2022-04-21,"Pâtes","Magasin_2","Oui",0.99,189
2022-04-21,"Pâtes","Magasin_3","Non",0.99,34
2022-04-21,"Pâtes","Magasin_4","Non",0.49,112
2022-04-21,"Pâtes","Magasin_5","Oui",0.79,NA
2022-04-21,"Pâtes","Magasin_6","Oui",0.74,220
2022-04-21,"Poulet","Magasin_1","Oui",5.49,172
2022-04-21,"Poulet","Magasin_2","Non",7.99,81
2022-04-21,"Poulet","Magasin_3","Non",7.99,45
2022-04-21,"Poulet","Magasin_4","Non",7.99,NA
2022-04-21,"Poulet","Magasin_5","Non",8.35,116
2022-04-21,"Poulet","Magasin_6","Oui",6.11,188
2022-04-21,"Bœuf","Magasin_1","Oui",7.31,191
2022-04-21,"Bœuf","Magasin_2","Non",12.36,255
2022-04-21,"Bœuf","Magasin_3","Non",12.23,34
2022-04-21,"Bœuf","Magasin_4","Non",12.09,73
2022-04-21,"Bœuf","Magasin_5","Non",11.41,99
2022-04-21,"Bœuf","Magasin_6","Non",12.2,104
2022-04-21,"Jus d'orange","Magasin_1","Non",2.81,78
2022-04-21,"Jus d'orange","Magasin_2","Non",2.99,22
2022-04-21,"Jus d'orange","Magasin_3","Non",2.99,70
2022-04-21,"Jus d'orange","Magasin_4","Non",2.77,53
2022-04-21,"Jus d'orange","Magasin_5","Non",2.8,92
2022-04-21,"Jus d'orange","Magasin_6","Non",2.81,103
2022-04-21,"Café","Magasin_1","Non",3.4,41
2022-04-21,"Café","Magasin_2","Oui",1.49,76
2022-04-21,"Café","Magasin_3","Non",2.49,62
2022-04-21,"Café","Magasin_4","Non",3.49,73
2022-04-21,"Café","Magasin_5","Non",3.49,80
2022-04-21,"Café","Magasin_6","Non",3.49,76
2022-04-22,"Pain","Magasin_1","Non",0.99,91
2022-04-22,"Pain","Magasin_2","Non",0.99,140
2022-04-22,"Pain","Magasin_3","Oui",0.82,182
2022-04-22,"Pain","Magasin_4","Non",0.99,133
2022-04-22,"Pain","Magasin_5","Non",0.99,72
2022-04-22,"Pain","Magasin_6","Non",0.96,36
2022-04-22,"Lait","Magasin_1","Non",0.99,75
2022-04-22,"Lait","Magasin_2","Non",0.99,127
2022-04-22,"Lait","Magasin_3","Non",0.99,72
2022-04-22,"Lait","Magasin_4","Non",0.99,159
2022-04-22,"Lait","Magasin_5","Non",0.99,44
2022-04-22,"Lait","Magasin_6","Non",0.99,128
2022-04-22,"Beurre","Magasin_1","Non",2.49,40
2022-04-22,"Beurre","Magasin_2","Non",2.49,127
2022-04-22,"Beurre","Magasin_3","Non",1.49,97
2022-04-22,"Beurre","Magasin_4","Oui",1.99,201
2022-04-22,"Beurre","Magasin_5","Non",2.49,40
2022-04-22,"Beurre","Magasin_6","Non",2.4,71
2022-04-22,"Yaourt","Magasin_1","Non",1.26,64
2022-04-22,"Yaourt","Magasin_2","Oui",0.7,121
2022-04-22,"Yaourt","Magasin_3","Non",1.2,34
2022-04-22,"Yaourt","Magasin_4","Oui",0.72,115
2022-04-22,"Yaourt","Magasin_5","Non",1.24,86
2022-04-22,"Yaourt","Magasin_6","Non",1.19,42
2022-04-22,"Riz","Magasin_1","Non",1.49,46
2022-04-22,"Riz","Magasin_2","Oui",0.99,98
2022-04-22,"Riz","Magasin_3","Non",1.49,134
2022-04-22,"Riz","Magasin_4","Non",0.49,43
2022-04-22,"Riz","Magasin_5","Non",0.49,92
2022-04-22,"Riz","Magasin_6","Non",1.49,63
2022-04-22,"Pâtes","Magasin_1","Non",1.27,132
2022-04-22,"Pâtes","Magasin_2","Non",0.49,119
2022-04-22,"Pâtes","Magasin_3","Non",1.31,29
2022-04-22,"Pâtes","Magasin_4","Non",1.29,77
2022-04-22,"Pâtes","Magasin_5","Non",0.49,37
2022-04-22,"Pâtes","Magasin_6","Non",1.3,139
2022-04-22,"Poulet","Magasin_1","Oui",6.49,152
2022-04-22,"Poulet","Magasin_2","Non",8.16,80
2022-04-22,"Poulet","Magasin_3","Non",7.99,100
2022-04-22,"Poulet","Magasin_4","Non",7.81,39
2022-04-22,"Poulet","Magasin_5","Non",8.26,137
2022-04-22,"Poulet","Magasin_6","Non",7.99,115
2022-04-22,"Bœuf","Magasin_1","Non",11.49,NA
2022-04-22,"Bœuf","Magasin_2","Non",11.99,91
2022-04-22,"Bœuf","Magasin_3","Non",11.93,34
2022-04-22,"Bœuf","Magasin_4","Oui",6.99,103
2022-04-22,"Bœuf","Magasin_5","Oui",6.99,182
2022-04-22,"Bœuf","Magasin_6","Non",11.49,126
2022-04-22,"Jus d'orange","Magasin_1","Non",2.99,41
2022-04-22,"Jus d'orange","Magasin_2","Non",2.81,23
2022-04-22,"Jus d'orange","Magasin_3","Non",2.78,92
2022-04-22,"Jus d'orange","Magasin_4","Non",2.87,52
2022-04-22,"Jus d'orange","Magasin_5","Oui",1.49,144
2022-04-22,"Jus d'orange","Magasin_6","Non",2.84,116
2022-04-22,"Café","Magasin_1","Non",2.49,41
2022-04-22,"Café","Magasin_2","Non",3.44,43
2022-04-22,"Café","Magasin_3","Non",3.49,64
2022-04-22,"Café","Magasin_4","Non",2.49,89
2022-04-22,"Café","Magasin_5","Non",3.4,70
2022-04-22,"Café","Magasin_6","Non",2.49,90
2022-04-23,"Pain","Magasin_1","Non",0.99,125
2022-04-23,"Pain","Magasin_2","Non",0.99,149
2022-04-23,"Pain","Magasin_3","Non",0.99,131
2022-04-23,"Pain","Magasin_4","Non",0.99,168
2022-04-23,"Pain","Magasin_5","Non",0.99,92
2022-04-23,"Pain","Magasin_6","Non",0.99,58
2022-04-23,"Lait","Magasin_1","Non",0.92,255
2022-04-23,"Lait","Magasin_2","Non",0.93,119
2022-04-23,"Lait","Magasin_3","Non",0.99,81
2022-04-23,"Lait","Magasin_4","Non",0.88,136
2022-04-23,"Lait","Magasin_5","Non",0.99,65
2022-04-23,"Lait","Magasin_6","Non",0.99,179
2022-04-23,"Beurre","Magasin_1","Non",1.49,38
2022-04-23,"Beurre","Magasin_2","Non",1.49,166
2022-04-23,"Beurre","Magasin_3","Oui",1.99,166
2022-04-23,"Beurre","Magasin_4","Non",2.49,146
2022-04-23,"Beurre","Magasin_5","Non",1.49,59
2022-04-23,"Beurre","Magasin_6","Non",1.49,96
2022-04-23,"Yaourt","Magasin_1","Non",1.19,92
2022-04-23,"Yaourt","Magasin_2","Non",1.15,110
2022-04-23,"Yaourt","Magasin_3","Non",0.99,38
2022-04-23,"Yaourt","Magasin_4","Non",1.15,90
2022-04-23,"Yaourt","Magasin_5","Non",1.18,117
2022-04-23,"Yaourt","Magasin_6","Non",1.16,50
2022-04-23,"Riz","Magasin_1","Non",0.49,61
2022-04-23,"Riz","Magasin_2","Non",1.49,81
2022-04-23,"Riz","Magasin_3","Non",0.49,155
2022-04-23,"Riz","Magasin_4","Oui",0.99,82
2022-04-23,"Riz","Magasin_5","Non",1.49,138
2022-04-23,"Riz","Magasin_6","Non",1.56,61
2022-04-23,"Pâtes","Magasin_1","Non",0.49,151
2022-04-23,"Pâtes","Magasin_2","Non",1.3,161
2022-04-23,"Pâtes","Magasin_3","Non",1.35,51
2022-04-23,"Pâtes","Magasin_4","Non",1.33,103
2022-04-23,"Pâtes","Magasin_5","Non",0.49,31
2022-04-23,"Pâtes","Magasin_6","Non",1.34,132
2022-04-23,"Poulet","Magasin_1","Non",7.75,138
2022-04-23,"Poulet","Magasin_2","Non",7.78,95
2022-04-23,"Poulet","Magasin_3","Non",8.26,67
2022-04-23,"Poulet","Magasin_4","Non",7.8,46
2022-04-23,"Poulet","Magasin_5","Oui",6.28,226
2022-04-23,"Poulet","Magasin_6","Non",8.21,152
2022-04-23,"Bœuf","Magasin_1","Non",12.15,142
2022-04-23,"Bœuf","Magasin_2","Oui",8.49,183
2022-04-23,"Bœuf","Magasin_3","Non",11.71,42
2022-04-23,"Bœuf","Magasin_4","Non",11.99,85
2022-04-23,"Bœuf","Magasin_5","Non",11.99,108
2022-04-23,"Bœuf","Magasin_6","Non",12.17,137
2022-04-23,"Jus d'orange","Magasin_1","Non",2.91,31
2022-04-23,"Jus d'orange","Magasin_2","Non",2.49,29
2022-04-23,"Jus d'orange","Magasin_3","Non",2.99,109
2022-04-23,"Jus d'orange","Magasin_4","Non",2.79,52
2022-04-23,"Jus d'orange","Magasin_5","Non",2.77,121
2022-04-23,"Jus d'orange","Magasin_6","Non",2.99,133
2022-04-23,"Café","Magasin_1","Non",3.44,59
2022-04-23,"Café","Magasin_2","Non",3.33,63
2022-04-23,"Café","Magasin_3","Non",3.49,79
2022-04-23,"Café","Magasin_4","Non",3.37,100
2022-04-23,"Café","Magasin_5","Non",3.33,107
2022-04-23,"Café","Magasin_6","Non",2.49,102
2022-04-24,"Pain","Magasin_1","Non",0.99,104
2022-04-24,"Pain","Magasin_2","Oui",0.49,243
2022-04-24,"Pain","Magasin_3","Non",0.99,153
2022-04-24,"Pain","Magasin_4","Oui",0.69,247
2022-04-24,"Pain","Magasin_5","Non",0.99,80
2022-04-24,"Pain","Magasin_6","Non",0.99,57
2022-04-24,"Lait","Magasin_1","Non",0.99,88
2022-04-24,"Lait","Magasin_2","Non",0.99,136
2022-04-24,"Lait","Magasin_3","Oui",0.64,114
2022-04-24,"Lait","Magasin_4","Non",0.88,153
2022-04-24,"Lait","Magasin_5","Oui",0.49,86
2022-04-24,"Lait","Magasin_6","Non",0.86,181
2022-04-24,"Beurre","Magasin_1","Non",1.49,31
2022-04-24,"Beurre","Magasin_2","Non",2.38,161
2022-04-24,"Beurre","Magasin_3","Non",2.42,105
2022-04-24,"Beurre","Magasin_4","Non",2.49,146
2022-04-24,"Beurre","Magasin_5","Non",1.49,61
2022-04-24,"Beurre","Magasin_6","Non",1.49,91
2022-04-24,"Yaourt","Magasin_1","Non",0.99,101
2022-04-24,"Yaourt","Magasin_2","Non",1.17,92
2022-04-24,"Yaourt","Magasin_3","Non",1.26,45
2022-04-24,"Yaourt","Magasin_4","Non",0.99,94
2022-04-24,"Yaourt","Magasin_5","Non",1.19,226
2022-04-24,"Yaourt","Magasin_6","Oui",0.73,66
2022-04-24,"Riz","Magasin_1","Non",1.49,78
2022-04-24,"Riz","Magasin_2","Non",0.49,78
2022-04-24,"Riz","Magasin_3","Non",0.49,160
2022-04-24,"Riz","Magasin_4","Non",1.49,50
2022-04-24,"Riz","Magasin_5","Non",0.49,151
2022-04-24,"Riz","Magasin_6","Non",0.49,87
2022-04-24,"Pâtes","Magasin_1","Non",0.49,132
2022-04-24,"Pâtes","Magasin_2","Non",1.29,155
2022-04-24,"Pâtes","Magasin_3","Non",1.28,60
2022-04-24,"Pâtes","Magasin_4","Non",1.28,108
2022-04-24,"Pâtes","Magasin_5","Non",1.26,30
2022-04-24,"Pâtes","Magasin_6","Non",1.34,158
2022-04-24,"Poulet","Magasin_1","Non",7.49,126
2022-04-24,"Poulet","Magasin_2","Non",7.99,77
2022-04-24,"Poulet","Magasin_3","Oui",6.49,100
2022-04-24,"Poulet","Magasin_4","Oui",4.86,69
2022-04-24,"Poulet","Magasin_5","Oui",6.21,216
2022-04-24,"Poulet","Magasin_6","Non",8.35,145
2022-04-24,"Bœuf","Magasin_1","Non",11.99,148
2022-04-24,"Bœuf","Magasin_2","Non",11.49,115
2022-04-24,"Bœuf","Magasin_3","Non",11.99,52
2022-04-24,"Bœuf","Magasin_4","Non",11.49,82
2022-04-24,"Bœuf","Magasin_5","Non",11.78,127
2022-04-24,"Bœuf","Magasin_6","Non",11.99,124
2022-04-24,"Jus d'orange","Magasin_1","Non",2.76,40
2022-04-24,"Jus d'orange","Magasin_2","Oui",1.49,54
2022-04-24,"Jus d'orange","Magasin_3","Non",2.87,92
2022-04-24,"Jus d'orange","Magasin_4","Non",2.82,72
2022-04-24,"Jus d'orange","Magasin_5","Non",2.78,117
2022-04-24,"Jus d'orange","Magasin_6","Non",2.81,133
2022-04-24,"Café","Magasin_1","Non",2.49,50
